day,week,month,year,day_of_week,is_weekend,Promo,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,StateHoliday_a,StateHoliday_b,StateHoliday_c,StateHoliday_none,Sales
7,10,3,2013,3,0,1,5973.0,4558.0,5386.0,5970.0,5746.0,5269.285714285715,5329.071428571428,0,0,0,1,5637
8,10,3,2013,4,0,1,5637.0,4676.0,5660.0,7032.0,5914.142857142857,5283.071428571428,5286.964285714285,0,0,0,1,5853
9,10,3,2013,5,1,0,5853.0,4611.0,5261.0,6049.0,6052.285714285715,5305.714285714285,5270.142857142857,0,0,0,1,5578
11,11,3,2013,0,0,0,5578.0,5350.0,5000.0,6140.0,5995.0,5302.071428571428,5227.607142857143,0,0,0,1,4949
12,11,3,2013,1,0,0,4949.0,7675.0,5237.0,5499.0,5449.0,5203.214285714285,5168.821428571428,0,0,0,1,3853
13,11,3,2013,2,0,0,3853.0,6300.0,4038.0,5681.0,5169.142857142857,5224.857142857143,5120.964285714285,0,0,0,1,4341
14,11,3,2013,3,0,0,4341.0,5973.0,3794.0,5370.0,5045.571428571428,5318.714285714285,5111.607142857143,0,0,0,1,5108
15,11,3,2013,4,0,0,5108.0,5637.0,4558.0,4409.0,4943.857142857143,5344.928571428572,5130.035714285715,0,0,0,1,4925
16,11,3,2013,5,1,0,4925.0,5853.0,4676.0,4015.0,4822.428571428572,5368.285714285715,5165.321428571428,0,0,0,1,5003
18,12,3,2013,0,0,1,5003.0,5578.0,4611.0,4252.0,5035.857142857143,5544.071428571428,5266.035714285715,0,0,0,1,7072
19,12,3,2013,1,0,1,7072.0,4949.0,5350.0,4241.0,5266.428571428572,5630.714285714285,5348.964285714285,0,0,0,1,6563
20,12,3,2013,2,0,1,6563.0,3853.0,7675.0,4809.0,5515.714285714285,5482.357142857143,5377.142857142857,0,0,0,1,5598
21,12,3,2013,3,0,1,5598.0,4341.0,6300.0,6154.0,5635.428571428572,5402.285714285715,5342.321428571428,0,0,0,1,5179
22,12,3,2013,4,0,1,5179.0,5108.0,5973.0,6407.0,5692.285714285715,5368.928571428572,5310.142857142857,0,0,0,1,5506
23,12,3,2013,5,1,0,5506.0,4925.0,5637.0,5386.0,5789.142857142857,5366.5,5317.892857142857,0,0,0,1,5603
25,13,3,2013,0,0,1,5603.0,5003.0,5853.0,5660.0,6035.714285714285,5429.071428571428,5356.071428571428,0,0,0,1,6729
26,13,3,2013,1,0,1,6729.0,7072.0,5578.0,5261.0,5980.571428571428,5508.214285714285,5406.964285714285,0,0,0,1,6686
27,13,3,2013,2,0,1,6686.0,6563.0,4949.0,5000.0,5994.428571428572,5630.428571428572,5466.25,0,0,0,1,6660
28,13,3,2013,3,0,1,6660.0,5598.0,3853.0,5237.0,6235.428571428572,5875.571428571428,5539.392857142857,0,0,0,1,7285
30,13,3,2013,5,1,0,7285.0,5179.0,4341.0,4038.0,6514.428571428572,6074.928571428572,5649.892857142857,0,0,0,1,7132
2,14,4,2013,1,0,0,7132.0,5506.0,5108.0,3794.0,6511.285714285715,6101.785714285715,5710.25,0,0,0,1,5484
3,14,4,2013,2,0,0,5484.0,5603.0,4925.0,4558.0,6371.571428571428,6080.357142857143,5712.642857142857,0,0,0,1,4625
4,14,4,2013,3,0,0,4625.0,6729.0,5003.0,4676.0,6023.571428571428,6029.642857142857,5698.964285714285,0,0,0,1,4293
5,14,4,2013,4,0,0,4293.0,6686.0,7072.0,4611.0,5695.571428571428,5838.071428571428,5691.071428571428,0,0,0,1,4390
6,14,4,2013,5,1,0,4390.0,6660.0,6563.0,5350.0,5469.142857142857,5731.785714285715,5681.25,0,0,0,1,5075
8,15,4,2013,0,0,1,5075.0,7285.0,5598.0,7675.0,5292.142857142857,5763.785714285715,5623.071428571428,0,0,0,1,6046
9,15,4,2013,1,0,1,6046.0,7132.0,5179.0,6300.0,5061.0,5787.714285714285,5595.0,0,0,0,1,5514
10,15,4,2013,2,0,1,5514.0,5484.0,5506.0,5973.0,4978.0,5744.642857142857,5556.785714285715,0,0,0,1,4903
11,15,4,2013,3,0,1,4903.0,4625.0,5603.0,5637.0,4941.0,5656.285714285715,5511.392857142857,0,0,0,1,4366
12,15,4,2013,4,0,1,4366.0,4293.0,6729.0,5853.0,5079.571428571428,5551.571428571428,5490.321428571428,0,0,0,1,5263
13,15,4,2013,5,1,0,5263.0,4390.0,6686.0,5578.0,5134.285714285715,5414.928571428572,5461.571428571428,0,0,0,1,4773
15,16,4,2013,0,0,0,4773.0,5075.0,6660.0,4949.0,4972.285714285715,5220.714285714285,5425.571428571428,0,0,0,1,3941
16,16,4,2013,1,0,0,3941.0,6046.0,7285.0,3853.0,4588.142857142857,4940.142857142857,5407.857142857143,0,0,0,1,3357
17,16,4,2013,2,0,0,3357.0,5514.0,7132.0,4341.0,4321.714285714285,4691.357142857143,5383.142857142857,0,0,0,1,3649
18,16,4,2013,3,0,0,3649.0,4903.0,5484.0,5108.0,4043.0,4510.5,5306.142857142857,0,0,0,1,2952
19,16,4,2013,4,0,0,2952.0,4366.0,4625.0,4925.0,4034.0,4487.5,5283.928571428572,0,0,0,1,4303
20,16,4,2013,5,1,0,4303.0,5263.0,4293.0,5003.0,3903.5714285714284,4491.571428571428,5260.607142857143,0,0,0,1,4350
22,17,4,2013,0,0,1,4350.0,4773.0,4390.0,7072.0,4032.0,4583.142857142857,5210.607142857143,0,0,0,1,5672
23,17,4,2013,1,0,1,5672.0,3941.0,5075.0,6563.0,4110.714285714285,4541.5,5136.642857142857,0,0,0,1,4492
24,17,4,2013,2,0,1,4492.0,3357.0,6046.0,5598.0,4246.714285714285,4417.428571428572,5090.607142857143,0,0,0,1,4309
25,17,4,2013,3,0,1,4309.0,3649.0,5514.0,5179.0,4288.142857142857,4304.928571428572,5046.321428571428,0,0,0,1,3939
26,17,4,2013,4,0,1,3939.0,2952.0,4903.0,5506.0,4558.0,4300.5,5022.571428571428,0,0,0,1,4841
27,17,4,2013,5,1,0,4841.0,4303.0,4366.0,5603.0,4761.285714285715,4397.642857142857,5026.964285714285,0,0,0,1,5726
29,18,4,2013,0,0,1,5726.0,4350.0,5263.0,6729.0,4971.428571428572,4437.5,4994.535714285715,0,0,0,1,5821
30,18,4,2013,1,0,1,5821.0,5672.0,4773.0,6686.0,5007.571428571428,4519.785714285715,4967.357142857143,0,0,0,1,5925
2,18,5,2013,3,0,1,5925.0,4492.0,3941.0,6660.0,5292.428571428572,4701.571428571428,4961.142857142857,0,0,0,1,6486
3,18,5,2013,4,0,1,6486.0,4309.0,3357.0,7285.0,5537.857142857143,4892.285714285715,4916.214285714285,0,0,0,1,6027
4,18,5,2013,5,1,0,6027.0,3939.0,3649.0,7132.0,5819.714285714285,5053.928571428572,4872.642857142857,0,0,0,1,5912
6,19,5,2013,0,0,0,5912.0,4841.0,2952.0,5484.0,5780.714285714285,5169.357142857143,4839.928571428572,0,0,0,1,4568
7,19,5,2013,1,0,0,4568.0,5726.0,4303.0,4625.0,5623.285714285715,5192.285714285715,4839.892857142857,0,0,0,1,4624
8,19,5,2013,2,0,0,4624.0,5821.0,4350.0,4293.0,5538.857142857143,5255.142857142857,4873.357142857143,0,0,0,1,5230
10,19,5,2013,4,0,0,5230.0,5925.0,5672.0,4390.0,5465.142857142857,5236.357142857143,4909.75,0,0,0,1,5409
11,19,5,2013,5,1,0,5409.0,6486.0,4492.0,5075.0,5262.0,5277.214285714285,4909.357142857143,0,0,0,1,5064
13,20,5,2013,0,0,1,5064.0,6027.0,4309.0,6046.0,5273.285714285715,5405.571428571428,4911.5,0,0,0,1,6106
14,20,5,2013,1,0,1,6106.0,5912.0,3939.0,5514.0,5154.857142857143,5487.285714285715,4896.107142857143,0,0,0,1,5083
15,20,5,2013,2,0,1,5083.0,4568.0,4841.0,4903.0,5186.571428571428,5483.642857142857,4892.071428571428,0,0,0,1,4790
16,20,5,2013,3,0,1,4790.0,4624.0,5726.0,4366.0,5161.428571428572,5392.357142857143,4895.0,0,0,0,1,4448
17,20,5,2013,4,0,1,4448.0,5230.0,5821.0,5263.0,5108.0,5323.428571428572,4880.464285714285,0,0,0,1,4856
18,20,5,2013,5,1,0,4856.0,5409.0,5925.0,4773.0,4965.714285714285,5215.428571428572,4867.607142857143,0,0,0,1,4413
21,21,5,2013,1,0,0,4413.0,5064.0,6486.0,3941.0,4926.428571428572,5094.214285714285,4897.892857142857,0,0,0,1,4789
22,21,5,2013,2,0,0,4789.0,6106.0,6027.0,3357.0,4562.571428571428,4917.928571428572,4905.107142857143,0,0,0,1,3559
23,21,5,2013,3,0,0,3559.0,5083.0,5912.0,3649.0,4412.142857142857,4783.5,4918.714285714285,0,0,0,1,4030
24,21,5,2013,4,0,0,4030.0,4790.0,4568.0,2952.0,4332.428571428572,4759.5,4964.428571428572,0,0,0,1,4232
25,21,5,2013,5,1,0,4232.0,4448.0,4624.0,4303.0,4326.714285714285,4744.071428571428,4968.178571428572,0,0,0,1,4408
27,22,5,2013,0,0,1,4408.0,4856.0,5230.0,4350.0,4421.428571428572,4764.714285714285,5009.928571428572,0,0,0,1,5519
28,22,5,2013,1,0,1,5519.0,4413.0,5409.0,5672.0,4504.571428571428,4735.142857142857,4985.75,0,0,0,1,4995
29,22,5,2013,2,0,1,4995.0,4789.0,5064.0,4492.0,4646.714285714285,4786.571428571428,5031.892857142857,0,0,0,1,5784
31,22,5,2013,4,0,1,5784.0,3559.0,6106.0,4309.0,5265.857142857143,4914.214285714285,5159.892857142857,0,0,0,1,7893
1,22,6,2013,5,1,0,7893.0,4030.0,5083.0,3939.0,5503.428571428572,4957.785714285715,5222.535714285715,0,0,0,1,5693
3,23,6,2013,0,0,1,5693.0,4232.0,4790.0,4841.0,5673.428571428572,5002.928571428572,5243.285714285715,0,0,0,1,5422
4,23,6,2013,1,0,1,5422.0,4408.0,4448.0,5726.0,5789.428571428572,5058.071428571428,5225.214285714285,0,0,0,1,5220
5,23,6,2013,2,0,1,5220.0,5519.0,4856.0,5821.0,5717.0,5069.214285714285,5196.321428571428,0,0,0,1,5012
6,23,6,2013,3,0,1,5012.0,4995.0,4413.0,5925.0,5700.714285714285,5102.642857142857,5159.035714285715,0,0,0,1,4881
7,23,6,2013,4,0,1,4881.0,5784.0,4789.0,6486.0,5490.857142857143,5068.785714285715,5081.5,0,0,0,1,4315
8,23,6,2013,5,1,0,4315.0,7893.0,3559.0,6027.0,4972.142857142857,5119.0,5018.464285714285,0,0,0,1,4262
10,24,6,2013,0,0,0,4262.0,5693.0,4030.0,5912.0,4771.857142857143,5137.642857142857,4960.571428571428,0,0,0,1,4291
11,24,6,2013,1,0,0,4291.0,5422.0,4232.0,4568.0,4537.857142857143,5105.642857142857,4932.571428571428,0,0,0,1,3784
12,24,6,2013,2,0,0,3784.0,5220.0,4408.0,4624.0,4301.142857142857,5045.285714285715,4894.678571428572,0,0,0,1,3563
13,24,6,2013,3,0,0,3563.0,5012.0,5519.0,5230.0,4108.142857142857,4912.571428571428,4838.642857142857,0,0,0,1,3661
14,24,6,2013,4,0,0,3661.0,4881.0,4995.0,5409.0,4003.714285714286,4852.214285714285,4793.678571428572,0,0,0,1,4150
15,24,6,2013,5,1,0,4150.0,4315.0,5784.0,5064.0,4068.1428571428573,4779.5,4783.035714285715,0,0,0,1,4766
17,25,6,2013,0,0,1,4766.0,4262.0,7893.0,6106.0,4221.714285714285,4596.928571428572,4755.571428571428,0,0,0,1,5337
18,25,6,2013,1,0,1,5337.0,4291.0,5693.0,5083.0,4270.571428571428,4521.214285714285,4739.5,0,0,0,1,4633
19,25,6,2013,2,0,1,4633.0,3784.0,5422.0,4790.0,4327.142857142857,4432.5,4717.714285714285,0,0,0,1,4180
20,25,6,2013,3,0,1,4180.0,3563.0,5220.0,4448.0,4534.0,4417.571428571428,4737.821428571428,0,0,0,1,5011
21,25,6,2013,4,0,1,5011.0,3661.0,5012.0,4856.0,4750.0,4429.071428571428,4749.142857142857,0,0,0,1,5173
22,25,6,2013,5,1,0,5173.0,4150.0,4881.0,4413.0,4777.285714285715,4390.5,4746.571428571428,0,0,0,1,4341
24,26,6,2013,0,0,0,4341.0,4766.0,4315.0,4789.0,4603.428571428572,4335.785714285715,4702.285714285715,0,0,0,1,3549
25,26,6,2013,1,0,0,3549.0,5337.0,4262.0,3559.0,4489.0,4355.357142857143,4737.178571428572,0,0,0,1,4536
26,26,6,2013,2,0,0,4536.0,4633.0,4291.0,4030.0,4373.857142857143,4322.214285714285,4729.928571428572,0,0,0,1,3827
27,26,6,2013,3,0,0,3827.0,4180.0,3784.0,4232.0,4290.0,4308.571428571428,4707.107142857143,0,0,0,1,3593
28,26,6,2013,4,0,0,3593.0,5011.0,3563.0,4408.0,4203.714285714285,4368.857142857143,4707.071428571428,0,0,0,1,4407
29,26,6,2013,5,1,0,4407.0,5173.0,3661.0,5519.0,4293.857142857143,4521.928571428572,4717.25,0,0,0,1,5804
1,27,7,2013,0,0,1,5804.0,4341.0,4150.0,4995.0,4475.714285714285,4626.5,4739.357142857143,0,0,0,1,5614
2,27,7,2013,1,0,1,5614.0,3549.0,4766.0,5784.0,4807.0,4705.214285714285,4742.357142857143,0,0,0,1,5868
3,27,7,2013,2,0,1,5868.0,4536.0,5337.0,7893.0,4998.285714285715,4743.642857142857,4670.285714285715,0,0,0,1,5875
4,27,7,2013,3,0,1,5875.0,3827.0,4633.0,5693.0,5266.0,4819.928571428572,4670.571428571428,0,0,0,1,5701
5,27,7,2013,4,0,1,5701.0,3593.0,4180.0,5422.0,5465.0,4877.5,4655.0,0,0,0,1,4986
6,27,7,2013,5,1,0,4986.0,4407.0,5011.0,5220.0,5419.714285714285,4811.714285714285,4614.642857142857,0,0,0,1,4090
8,28,7,2013,0,0,0,4090.0,5804.0,5173.0,5012.0,5229.857142857143,4761.857142857143,4595.464285714285,0,0,0,1,4475
9,28,7,2013,1,0,0,4475.0,5614.0,4341.0,4881.0,5006.0,4740.857142857143,4565.678571428572,0,0,0,1,4047
10,28,7,2013,2,0,0,4047.0,5868.0,3549.0,4315.0,4733.857142857143,4770.428571428572,4553.107142857143,0,0,0,1,3963
11,28,7,2013,3,0,0,3963.0,5875.0,4536.0,4262.0,4473.571428571428,4735.928571428572,4545.642857142857,0,0,0,1,4053
12,28,7,2013,4,0,0,4053.0,5701.0,3827.0,4291.0,4249.714285714285,4757.857142857143,4540.035714285715,0,0,0,1,4134
13,28,7,2013,5,1,0,4134.0,4986.0,3593.0,3784.0,4111.0,4788.0,4548.285714285715,0,0,0,1,4015
15,29,7,2013,0,0,1,4015.0,4090.0,4407.0,3563.0,4437.714285714285,4928.714285714285,4648.785714285715,0,0,0,1,6377
16,29,7,2013,1,0,1,6377.0,4475.0,5804.0,3661.0,4604.571428571428,4917.214285714285,4719.571428571428,0,0,0,1,5643
17,29,7,2013,2,0,1,5643.0,4047.0,5614.0,4150.0,4733.0,4869.5,4748.0,0,0,0,1,4946
18,29,7,2013,3,0,1,4946.0,3963.0,5868.0,4766.0,4867.428571428572,4800.642857142857,4752.928571428572,0,0,0,1,4904
19,29,7,2013,4,0,1,4904.0,4053.0,5875.0,5337.0,4899.142857142857,4686.357142857143,4715.0,0,0,0,1,4275
20,29,7,2013,5,1,0,4275.0,4134.0,5701.0,4633.0,4940.142857142857,4594.928571428572,4707.428571428572,0,0,0,1,4421
22,30,7,2013,0,0,0,4421.0,4015.0,4986.0,4180.0,4959.285714285715,4535.142857142857,4706.321428571428,0,0,0,1,4149
23,30,7,2013,1,0,0,4149.0,6377.0,4090.0,5011.0,4610.714285714285,4524.214285714285,4667.964285714285,0,0,0,1,3937
24,30,7,2013,2,0,0,3937.0,5643.0,4475.0,5173.0,4354.428571428572,4479.5,4620.678571428572,0,0,0,1,3849
25,30,7,2013,3,0,0,3849.0,4946.0,4047.0,4341.0,4148.142857142857,4440.571428571428,4590.714285714285,0,0,0,1,3502
26,30,7,2013,4,0,0,3502.0,4904.0,3963.0,3549.0,4050.5714285714284,4459.0,4614.714285714285,0,0,0,1,4221
27,30,7,2013,5,1,0,4221.0,4275.0,4053.0,4536.0,3918.714285714286,4408.928571428572,4572.428571428572,0,0,0,1,3352
29,31,7,2013,0,0,1,3352.0,4421.0,4134.0,3827.0,4185.714285714285,4562.928571428572,4660.392857142857,0,0,0,1,6290
30,31,7,2013,1,0,1,6290.0,4149.0,4015.0,3593.0,4417.714285714285,4688.5,4738.25,0,0,0,1,5773
31,31,7,2013,2,0,1,5773.0,3937.0,6377.0,4407.0,4651.285714285715,4631.0,4779.857142857143,0,0,0,1,5572
1,31,8,2013,3,0,1,5572.0,3849.0,5643.0,5804.0,4814.857142857143,4584.642857142857,4750.928571428572,0,0,0,1,4994
2,31,8,2013,4,0,1,4994.0,3502.0,4946.0,5614.0,4956.571428571428,4552.357142857143,4710.928571428572,0,0,0,1,4494
3,31,8,2013,5,1,0,4494.0,4221.0,4904.0,5868.0,4990.857142857143,4520.714285714285,4660.678571428572,0,0,0,1,4461
5,32,8,2013,0,0,0,4461.0,3352.0,4275.0,5875.0,5095.714285714285,4507.214285714285,4596.785714285715,0,0,0,1,4086
6,32,8,2013,1,0,0,4086.0,6290.0,4421.0,5701.0,4708.857142857143,4447.285714285715,4521.107142857143,0,0,0,1,3582
7,32,8,2013,2,0,0,3582.0,5773.0,4149.0,4986.0,4476.0,4446.857142857143,4491.0,0,0,0,1,4143
8,32,8,2013,3,0,0,4143.0,5572.0,3937.0,4090.0,4205.714285714285,4428.5,4476.357142857143,0,0,0,1,3680
9,32,8,2013,4,0,0,3680.0,4994.0,3849.0,4475.0,3957.5714285714284,4386.214285714285,4432.857142857143,0,0,0,1,3257
10,32,8,2013,5,1,0,3257.0,4494.0,3502.0,4047.0,3853.8571428571427,4405.214285714285,4422.892857142857,0,0,0,1,3768
12,33,8,2013,0,0,1,3768.0,4461.0,4221.0,3963.0,3977.4285714285716,4484.142857142857,4471.571428571428,0,0,0,1,5326
13,33,8,2013,1,0,1,5326.0,4086.0,3352.0,4053.0,4150.714285714285,4623.214285714285,4516.071428571428,0,0,0,1,5299
14,33,8,2013,2,0,1,5299.0,3582.0,6290.0,4134.0,4313.857142857143,4511.357142857143,4537.142857142857,0,0,0,1,4724
15,33,8,2013,3,0,1,4724.0,4143.0,5773.0,4015.0,4375.571428571428,4425.785714285715,4557.142857142857,0,0,0,1,4575
16,33,8,2013,4,0,1,4575.0,3680.0,5572.0,6377.0,4500.142857142857,4352.928571428572,4491.964285714285,0,0,0,1,4552
17,33,8,2013,5,1,0,4552.0,3257.0,4994.0,5643.0,4617.428571428572,4287.5,4436.071428571428,0,0,0,1,4078
19,34,8,2013,0,0,0,4078.0,3768.0,4494.0,4946.0,4644.0,4248.928571428572,4400.642857142857,0,0,0,1,3954
20,34,8,2013,1,0,0,3954.0,5326.0,4461.0,4904.0,4382.0,4179.714285714285,4350.214285714285,0,0,0,1,3492
21,34,8,2013,2,0,0,3492.0,5299.0,4086.0,4275.0,4067.285714285714,4109.0,4308.107142857143,0,0,0,1,3096
22,34,8,2013,3,0,0,3096.0,4724.0,3582.0,4421.0,3921.4285714285716,4117.642857142857,4282.464285714285,0,0,0,1,3703
23,34,8,2013,4,0,0,3703.0,4575.0,4143.0,4149.0,3766.8571428571427,4071.214285714286,4259.035714285715,0,0,0,1,3493
24,34,8,2013,5,1,0,3493.0,4552.0,3680.0,3937.0,3795.4285714285716,4147.785714285715,4288.142857142857,0,0,0,1,4752
26,35,8,2013,0,0,1,4752.0,4078.0,3257.0,3849.0,3996.0,4306.714285714285,4346.464285714285,0,0,0,1,5482
27,35,8,2013,1,0,1,5482.0,3954.0,3768.0,3502.0,4167.714285714285,4405.857142857143,4405.535714285715,0,0,0,1,5156
28,35,8,2013,2,0,1,5156.0,3492.0,5326.0,4221.0,4323.571428571428,4352.785714285715,4418.464285714285,0,0,0,1,4583
29,35,8,2013,3,0,1,4583.0,3096.0,5299.0,3352.0,4567.571428571428,4317.428571428572,4470.321428571428,0,0,0,1,4804
30,35,8,2013,4,0,1,4804.0,3703.0,4724.0,6290.0,4819.857142857143,4370.642857142857,4441.0,0,0,0,1,5469
31,35,8,2013,5,1,0,5469.0,3493.0,4575.0,5773.0,5080.428571428572,4423.642857142857,4424.714285714285,0,0,0,1,5317
2,36,9,2013,0,0,0,5317.0,4752.0,4552.0,5572.0,5000.857142857143,4398.142857142857,4375.535714285715,0,0,0,1,4195
3,36,9,2013,1,0,0,4195.0,5482.0,4078.0,4994.0,4778.857142857143,4387.428571428572,4337.464285714285,0,0,0,1,3928
4,36,9,2013,2,0,0,3928.0,5156.0,3954.0,4494.0,4519.857142857143,4343.785714285715,4296.357142857143,0,0,0,1,3343
5,36,9,2013,3,0,0,3343.0,4583.0,3492.0,4461.0,4419.857142857143,4371.714285714285,4275.714285714285,0,0,0,1,3883
6,36,9,2013,4,0,0,3883.0,4804.0,3096.0,4086.0,4281.571428571428,4424.571428571428,4266.785714285715,0,0,0,1,3836
7,36,9,2013,5,1,0,3836.0,5469.0,3703.0,3582.0,4166.428571428572,4493.142857142857,4305.392857142857,0,0,0,1,4663
9,37,9,2013,0,0,1,4663.0,5317.0,3493.0,4143.0,4248.714285714285,4664.571428571428,4367.892857142857,0,0,0,1,5893
10,37,9,2013,1,0,1,5893.0,4195.0,4752.0,3680.0,4421.285714285715,4711.071428571428,4429.428571428572,0,0,0,1,5403
11,37,9,2013,2,0,1,5403.0,3928.0,5482.0,3257.0,4589.142857142857,4684.0,4495.357142857143,0,0,0,1,5103
12,37,9,2013,3,0,1,5103.0,3343.0,5156.0,3768.0,4837.142857142857,4678.5,4542.178571428572,0,0,0,1,5079
13,37,9,2013,4,0,1,5079.0,3883.0,4583.0,5326.0,5023.428571428572,4721.642857142857,4537.214285714285,0,0,0,1,5187
14,37,9,2013,5,1,0,5187.0,3836.0,4804.0,5299.0,5141.571428571428,4711.571428571428,4514.5,0,0,0,1,4663
16,38,9,2013,0,0,0,4663.0,4663.0,5469.0,4724.0,5082.428571428572,4624.428571428572,4497.535714285715,0,0,0,1,4249
17,38,9,2013,1,0,0,4249.0,5893.0,5317.0,4575.0,4767.0,4507.857142857143,4465.75,0,0,0,1,3685
18,38,9,2013,2,0,0,3685.0,5403.0,4195.0,4552.0,4558.857142857143,4490.071428571428,4444.107142857143,0,0,0,1,3946
19,38,9,2013,3,0,0,3946.0,5103.0,3928.0,4078.0,4360.857142857143,4475.0,4431.214285714285,0,0,0,1,3717
20,38,9,2013,4,0,0,3717.0,5079.0,3343.0,3954.0,4137.571428571428,4487.357142857143,4415.571428571428,0,0,0,1,3516
21,38,9,2013,5,1,0,3516.0,5187.0,3883.0,3492.0,3955.0,4489.214285714285,4430.464285714285,0,0,0,1,3909
23,39,9,2013,0,0,1,3909.0,4663.0,3836.0,3096.0,3970.285714285714,4555.928571428572,4490.25,0,0,0,1,4770
24,39,9,2013,1,0,1,4770.0,4249.0,4663.0,3703.0,3973.8571428571427,4528.142857142857,4510.642857142857,0,0,0,1,4274
25,39,9,2013,2,0,1,4274.0,3685.0,5893.0,3493.0,4049.1428571428573,4408.071428571428,4536.321428571428,0,0,0,1,4212
26,39,9,2013,3,0,1,4212.0,3946.0,5403.0,4752.0,4125.571428571428,4342.214285714285,4526.642857142857,0,0,0,1,4481
27,39,9,2013,4,0,1,4481.0,3717.0,5103.0,5482.0,4261.571428571428,4311.214285714285,4497.607142857143,0,0,0,1,4669
28,39,9,2013,5,1,0,4669.0,3516.0,5079.0,5156.0,4355.714285714285,4246.642857142857,4462.571428571428,0,0,0,1,4175
30,40,9,2013,0,0,0,4175.0,3909.0,5187.0,4583.0,4381.285714285715,4168.142857142857,4444.892857142857,0,0,0,1,4088
1,40,10,2013,1,0,0,4088.0,4770.0,4663.0,4804.0,4296.714285714285,4133.5,4422.535714285715,0,0,0,1,4178
